Date,Company,Sentiment Score
13/01/2025,ACC,0.5386
16/01/2025,ACC,0.8454
25/02/2025,ACC,0.6872
17/03/2025,ACC,0.7294
25/01/2022,APLAPOLLO,0.88915
21/03/2022,APLAPOLLO,0.648
02/04/2022,APLAPOLLO,0.70095
23/05/2022,APLAPOLLO,0.5129
30/06/2022,APLAPOLLO,0.5
30/06/2022,APLAPOLLO,0.5
25/08/2022,APLAPOLLO,0.5
09/09/2022,APLAPOLLO,0.70095
03/10/2022,APLAPOLLO,0.6366
31/10/2022,APLAPOLLO,0.5
17/12/2022,APLAPOLLO,0.648
23/01/2023,APLAPOLLO,0.648
22/03/2023,APLAPOLLO,0.5
03/04/2023,APLAPOLLO,0.6591
22/05/2023,APLAPOLLO,0.5
12/06/2023,APLAPOLLO,0.5
11/07/2023,APLAPOLLO,0.6366
17/08/2023,APLAPOLLO,0.5
29/08/2023,APLAPOLLO,0.67
12/10/2023,APLAPOLLO,0.5
30/10/2023,APLAPOLLO,0.625
07/12/2023,APLAPOLLO,0.875
01/01/2024,APLAPOLLO,0.5
13/02/2024,APLAPOLLO,0.3634
21/02/2024,APLAPOLLO,0.81845
03/04/2024,APLAPOLLO,0.5
17/05/2024,APLAPOLLO,0.73835
08/06/2024,APLAPOLLO,0.5
01/07/2024,APLAPOLLO,0.8404
10/08/2024,APLAPOLLO,0.7202
23/08/2024,APLAPOLLO,0.5
30/09/2024,APLAPOLLO,0.5
30/10/2024,APLAPOLLO,0.7202
10/12/2024,APLAPOLLO,0.7202
01/01/2025,APLAPOLLO,0.5
17/01/2025,APLAPOLLO,0.67
25/02/2025,APLAPOLLO,0.648
19/03/2025,APLAPOLLO,0.5
19/02/2022,AADHARHFC,0.3634
16/03/2022,AADHARHFC,0.38685
22/04/2022,AADHARHFC,0.5
22/06/2022,AADHARHFC,0.5258
26/10/2022,AADHARHFC,0.5
29/10/2022,AADHARHFC,0.5
16/12/2022,AADHARHFC,0.5
26/01/2023,AADHARHFC,0.5
26/01/2023,AADHARHFC,0.5
09/03/2023,AADHARHFC,0.70095
25/04/2023,AADHARHFC,0.5
05/05/2023,AADHARHFC,0.5
13/06/2023,AADHARHFC,0.12105
20/07/2023,AADHARHFC,0.099
07/08/2023,AADHARHFC,0.5
25/08/2023,AADHARHFC,0.5386
27/09/2023,AADHARHFC,0.5
07/11/2023,AADHARHFC,0.5
23/11/2023,AADHARHFC,0.73835
16/01/2024,AADHARHFC,0.5
02/02/2024,AADHARHFC,0.5
24/02/2024,AADHARHFC,0.5
09/04/2024,AADHARHFC,0.5
15/05/2024,AADHARHFC,0.648
29/05/2024,AADHARHFC,0.5
17/07/2024,AADHARHFC,0.5
08/08/2024,AADHARHFC,0.6909
03/09/2024,AADHARHFC,0.8404
23/09/2024,AADHARHFC,0.5
07/11/2024,AADHARHFC,0.9063
11/12/2024,AADHARHFC,0.60115
19/12/2024,AADHARHFC,0.648
10/02/2025,AADHARHFC,0.5
11/03/2025,AADHARHFC,0.5
17/03/2025,AADHARHFC,0.21405
31/01/2022,AUBANK,0.7202
24/02/2022,AUBANK,0.5
24/03/2022,AUBANK,0.5
19/04/2022,AUBANK,0.77115
25/05/2022,AUBANK,0.5
24/06/2022,AUBANK,0.6909
20/07/2022,AUBANK,0.5
09/08/2022,AUBANK,0.5
20/09/2022,AUBANK,0.70095
19/10/2022,AUBANK,0.7202
17/11/2022,AUBANK,0.5
17/12/2022,AUBANK,0.5
19/01/2023,AUBANK,0.83525
22/02/2023,AUBANK,0.57655
21/03/2023,AUBANK,0.5129
25/04/2023,AUBANK,0.5
18/05/2023,AUBANK,0.5
30/05/2023,AUBANK,0.5
22/07/2023,AUBANK,0.901
26/07/2023,AUBANK,0.5
06/09/2023,AUBANK,0.79295
04/10/2023,AUBANK,0.436
13/11/2023,AUBANK,0.92595
22/11/2023,AUBANK,0.6591
04/01/2024,AUBANK,0.5
29/01/2024,AUBANK,0.78595
19/03/2024,AUBANK,0.73835
15/04/2024,AUBANK,0.5
29/04/2024,AUBANK,0.71075
19/06/2024,AUBANK,0.7202
08/07/2024,AUBANK,0.79295
25/07/2024,AUBANK,0.83525
04/09/2024,AUBANK,0.8404
07/10/2024,AUBANK,0.5
11/11/2024,AUBANK,0.61315
02/12/2024,AUBANK,0.61315
06/01/2025,AUBANK,0.74695
27/01/2025,AUBANK,0.3634
03/03/2025,AUBANK,0.5
17/03/2025,AUBANK,0.5129
27/01/2022,AARTIIND,0.6591
18/04/2022,AARTIIND,0.7294
08/05/2022,AARTIIND,0.60115
07/06/2022,AARTIIND,0.60115
13/07/2022,AARTIIND,0.5
23/08/2022,AARTIIND,0.5
06/09/2022,AARTIIND,0.648
06/10/2022,AARTIIND,0.5
21/11/2022,AARTIIND,0.648
14/12/2022,AARTIIND,0.7553
24/01/2023,AARTIIND,0.88585
30/01/2023,AARTIIND,0.76335
23/03/2023,AARTIIND,0.5
05/04/2023,AARTIIND,0.5
09/05/2023,AARTIIND,0.41105
01/06/2023,AARTIIND,0.9201
10/07/2023,AARTIIND,0.60115
15/08/2023,AARTIIND,0.6909
14/09/2023,AARTIIND,0.648
11/10/2023,AARTIIND,0.4742
27/10/2023,AARTIIND,0.81845
28/11/2023,AARTIIND,0.5
18/01/2024,AARTIIND,0.74695
08/02/2024,AARTIIND,0.85015
13/03/2024,AARTIIND,0.5
13/04/2024,AARTIIND,0.71075
14/05/2024,AARTIIND,0.5
24/05/2024,AARTIIND,0.9158
09/07/2024,AARTIIND,0.60115
13/08/2024,AARTIIND,0.5
12/09/2024,AARTIIND,0.57655
20/09/2024,AARTIIND,0.70095
11/11/2024,AARTIIND,0.1938
14/12/2024,AARTIIND,0.5
09/01/2025,AARTIIND,0.3409
06/02/2025,AARTIIND,0.5
13/03/2025,AARTIIND,0.5
16/03/2025,AARTIIND,0.0937
09/02/2022,AAVAS,0.67
20/05/2022,AAVAS,0.3194
24/06/2022,AAVAS,0.7997
19/07/2022,AAVAS,0.5
11/08/2022,AAVAS,0.5
31/08/2022,AAVAS,0.9375
28/10/2022,AAVAS,0.5
28/10/2022,AAVAS,0.5
01/12/2022,AAVAS,0.5
05/01/2023,AAVAS,0.7202
01/02/2023,AAVAS,0.648
09/03/2023,AAVAS,0.67
24/04/2023,AAVAS,0.57655
04/05/2023,AAVAS,0.648
16/06/2023,AAVAS,0.5
27/06/2023,AAVAS,0.5
17/08/2023,AAVAS,0.70095
22/09/2023,AAVAS,0.5
28/09/2023,AAVAS,0.67
01/11/2023,AAVAS,0.5
22/12/2023,AAVAS,0.5
22/12/2023,AAVAS,0.5
29/01/2024,AAVAS,0.5
05/03/2024,AAVAS,0.26165
05/04/2024,AAVAS,0.81245
26/04/2024,AAVAS,0.8953
18/06/2024,AAVAS,0.7202
03/07/2024,AAVAS,0.5
12/08/2024,AAVAS,0.648
27/08/2024,AAVAS,0.648
19/09/2024,AAVAS,0.8243
22/10/2024,AAVAS,0.5
06/12/2024,AAVAS,0.5
08/01/2025,AAVAS,0.60115
22/01/2025,AAVAS,0.7787
10/03/2025,AAVAS,0.648
20/03/2025,AAVAS,0.70095
10/01/2022,ADANIENSOL,0.6366
07/02/2022,ADANIENSOL,0.5
09/03/2022,ADANIENSOL,0.81645
06/06/2022,ADANIENSOL,0.60115
21/07/2022,ADANIENSOL,0.7787
19/09/2022,ADANIENSOL,0.70095
18/10/2022,ADANIENSOL,0.83525
07/11/2022,ADANIENSOL,0.5
14/12/2022,ADANIENSOL,0.625
22/01/2023,ADANIENSOL,0.76335
19/02/2023,ADANIENSOL,0.625
02/03/2023,ADANIENSOL,0.6366
22/04/2023,ADANIENSOL,0.57655
22/05/2023,ADANIENSOL,0.5
23/06/2023,ADANIENSOL,0.7787
03/07/2023,ADANIENSOL,0.21405
27/07/2023,ADANIENSOL,0.71075
30/08/2023,ADANIENSOL,0.648
02/10/2023,ADANIENSOL,0.71075
06/11/2023,ADANIENSOL,0.8454
23/11/2023,ADANIENSOL,0.71075
03/01/2024,ADANIENSOL,0.73835
29/01/2024,ADANIENSOL,0.8454
13/03/2024,ADANIENSOL,0.8062
11/04/2024,ADANIENSOL,0.8062
02/05/2024,ADANIENSOL,0.71075
27/05/2024,ADANIENSOL,0.83525
19/07/2024,ADANIENSOL,0.5
15/08/2024,ADANIENSOL,0.8243
02/09/2024,ADANIENSOL,0.71075
20/09/2024,ADANIENSOL,0.8062
07/11/2024,ADANIENSOL,0.8062
25/11/2024,ADANIENSOL,0.37675
24/12/2024,ADANIENSOL,0.8062
20/01/2025,ADANIENSOL,0.8062
21/02/2025,ADANIENSOL,0.8062
21/03/2025,ADANIENSOL,0.9158
21/01/2022,ABBOTINDIA,0.7202
08/02/2022,ABBOTINDIA,0.74695
29/03/2022,ABBOTINDIA,0.60115
20/04/2022,ABBOTINDIA,0.60115
18/05/2022,ABBOTINDIA,0.60115
01/06/2022,ABBOTINDIA,0.5
03/07/2022,ABBOTINDIA,0.71075
10/08/2022,ABBOTINDIA,0.6909
14/09/2022,ABBOTINDIA,0.70095
29/09/2022,ABBOTINDIA,0.5
14/11/2022,ABBOTINDIA,0.7202
09/12/2022,ABBOTINDIA,0.5
21/01/2023,ABBOTINDIA,0.23665
10/02/2023,ABBOTINDIA,0.7997
22/03/2023,ABBOTINDIA,0.5
26/04/2023,ABBOTINDIA,0.5
19/05/2023,ABBOTINDIA,0.7202
13/06/2023,ABBOTINDIA,0.5
20/07/2023,ABBOTINDIA,0.5
10/08/2023,ABBOTINDIA,0.8953
15/09/2023,ABBOTINDIA,0.89225
03/10/2023,ABBOTINDIA,0.5
09/11/2023,ABBOTINDIA,0.86755
19/12/2023,ABBOTINDIA,0.3409
22/12/2023,ABBOTINDIA,0.3409
01/02/2024,ABBOTINDIA,0.7202
29/02/2024,ABBOTINDIA,0.70095
12/04/2024,ABBOTINDIA,0.7997
10/05/2024,ABBOTINDIA,0.7553
19/06/2024,ABBOTINDIA,0.61315
14/07/2024,ABBOTINDIA,0.5
08/08/2024,ABBOTINDIA,0.5
28/08/2024,ABBOTINDIA,0.5
20/09/2024,ABBOTINDIA,0.74695
07/11/2024,ABBOTINDIA,0.5
16/12/2024,ABBOTINDIA,0.61315
16/12/2024,ABBOTINDIA,0.61315
07/02/2025,ABBOTINDIA,0.7553
05/03/2025,ABBOTINDIA,0.5
21/03/2025,ABBOTINDIA,0.57655
25/01/2022,ACE,0.60115
03/02/2022,ACE,0.648
11/04/2022,ACE,0.5
26/05/2022,ACE,0.5
22/06/2022,ACE,0.5
26/08/2022,ACE,0.5
12/12/2022,ACE,0.5
12/01/2023,ACE,0.70095
06/02/2023,ACE,0.6591
09/03/2023,ACE,0.81845
26/04/2023,ACE,0.5
16/05/2023,ACE,0.648
31/05/2023,ACE,0.8825
06/07/2023,ACE,0.39885
17/08/2023,ACE,0.77115
18/10/2023,ACE,0.5
31/10/2023,ACE,0.74695
29/11/2023,ACE,0.7202
15/02/2024,ACE,0.8062
22/02/2024,ACE,0.70095
03/04/2024,ACE,0.67
25/04/2024,ACE,0.5
25/05/2024,ACE,0.7202
20/06/2024,ACE,0.5
31/07/2024,ACE,0.5
19/08/2024,ACE,0.81845
17/09/2024,ACE,0.76335
09/11/2024,ACE,0.5
27/11/2024,ACE,0.5
06/01/2025,ACE,0.7553
11/02/2025,ACE,0.2003
21/02/2025,ACE,0.648
14/01/2022,ADANIENT,0.5
08/02/2022,ADANIENT,0.2798
29/03/2022,ADANIENT,0.648
08/04/2022,ADANIENT,0.6366
10/05/2022,ADANIENT,0.5
14/06/2022,ADANIENT,0.5
11/07/2022,ADANIENT,0.436
02/08/2022,ADANIENT,0.5
28/09/2022,ADANIENT,0.901
28/09/2022,ADANIENT,0.901
25/11/2022,ADANIENT,0.5
02/12/2022,ADANIENT,0.8294
25/01/2023,ADANIENT,0.5
04/02/2023,ADANIENT,0.55135
02/03/2023,ADANIENT,0.6366
24/04/2023,ADANIENT,0.5
11/05/2023,ADANIENT,0.3194
23/06/2023,ADANIENT,0.648
03/07/2023,ADANIENT,0.5
23/08/2023,ADANIENT,0.60115
10/09/2023,ADANIENT,0.5
12/10/2023,ADANIENT,0.5
02/11/2023,ADANIENT,0.5
28/11/2023,ADANIENT,0.648
03/01/2024,ADANIENT,0.648
07/02/2024,ADANIENT,0.70095
23/02/2024,ADANIENT,0.70095
28/03/2024,ADANIENT,0.648
13/05/2024,ADANIENT,0.648
04/06/2024,ADANIENT,0.29905
04/07/2024,ADANIENT,0.5
12/08/2024,ADANIENT,0.7553
02/09/2024,ADANIENT,0.648
01/10/2024,ADANIENT,0.5
30/10/2024,ADANIENT,0.648
27/11/2024,ADANIENT,0.76335
30/12/2024,ADANIENT,0.5
16/01/2025,ADANIENT,0.5
19/02/2025,ADANIENT,0.5
19/03/2025,ADANIENT,0.6909
13/01/2022,ADANIGREEN,0.6366
18/02/2022,ADANIGREEN,0.5
03/03/2022,ADANIGREEN,0.5
08/04/2022,ADANIGREEN,0.6366
04/05/2022,ADANIGREEN,0.7202
14/06/2022,ADANIGREEN,0.5
21/07/2022,ADANIGREEN,0.7787
19/08/2022,ADANIGREEN,0.8753
05/09/2022,ADANIGREEN,0.66845
30/09/2022,ADANIGREEN,0.39885
14/11/2022,ADANIGREEN,0.5
05/12/2022,ADANIGREEN,0.5
18/01/2023,ADANIGREEN,0.6366
22/02/2023,ADANIGREEN,0.7553
02/03/2023,ADANIGREEN,0.6366
22/04/2023,ADANIGREEN,0.57655
23/05/2023,ADANIGREEN,0.648
15/06/2023,ADANIGREEN,0.8062
13/07/2023,ADANIGREEN,0.5
07/08/2023,ADANIGREEN,0.5386
20/09/2023,ADANIGREEN,0.6366
09/10/2023,ADANIGREEN,0.7553
06/11/2023,ADANIGREEN,0.5
18/12/2023,ADANIGREEN,0.7553
27/12/2023,ADANIGREEN,0.74695
29/01/2024,ADANIGREEN,0.8062
14/03/2024,ADANIGREEN,0.648
03/04/2024,ADANIGREEN,0.74695
07/05/2024,ADANIGREEN,0.8243
30/05/2024,ADANIGREEN,0.3409
25/06/2024,ADANIGREEN,0.6366
12/08/2024,ADANIGREEN,0.86755
03/09/2024,ADANIGREEN,0.5
11/10/2024,ADANIGREEN,0.92405
13/11/2024,ADANIGREEN,0.7294
12/12/2024,ADANIGREEN,0.7553
19/12/2024,ADANIGREEN,0.67
24/01/2025,ADANIGREEN,0.7294
28/02/2025,ADANIGREEN,0.7294
17/03/2025,ADANIGREEN,0.82985
30/01/2022,ADANIPORTS,0.73835
02/02/2022,ADANIPORTS,0.5
22/03/2022,ADANIPORTS,0.5
22/04/2022,ADANIPORTS,0.648
04/05/2022,ADANIPORTS,0.7787
31/05/2022,ADANIPORTS,0.70095
15/07/2022,ADANIPORTS,0.78595
08/08/2022,ADANIPORTS,0.7202
21/09/2022,ADANIPORTS,0.6591
04/10/2022,ADANIPORTS,0.3634
10/11/2022,ADANIPORTS,0.648
16/12/2022,ADANIPORTS,0.5
25/01/2023,ADANIPORTS,0.41195
20/02/2023,ADANIPORTS,0.77115
02/03/2023,ADANIPORTS,0.6366
24/04/2023,ADANIPORTS,0.5
09/05/2023,ADANIPORTS,0.1596
30/05/2023,ADANIPORTS,0.6909
26/06/2023,ADANIPORTS,0.352
09/08/2023,ADANIPORTS,0.83525
10/09/2023,ADANIPORTS,0.70095
10/10/2023,ADANIPORTS,0.648
08/11/2023,ADANIPORTS,0.648
05/12/2023,ADANIPORTS,0.77115
01/01/2024,ADANIPORTS,0.5
12/02/2024,ADANIPORTS,0.564
12/03/2024,ADANIPORTS,0.648
03/04/2024,ADANIPORTS,0.85015
17/05/2024,ADANIPORTS,0.57655
19/06/2024,ADANIPORTS,0.648
24/06/2024,ADANIPORTS,0.648
05/08/2024,ADANIPORTS,0.50205
02/09/2024,ADANIPORTS,0.7553
03/10/2024,ADANIPORTS,0.70095
04/11/2024,ADANIPORTS,0.76335
11/12/2024,ADANIPORTS,0.648
26/12/2024,ADANIPORTS,0.648
30/01/2025,ADANIPORTS,0.7202
11/03/2025,ADANIPORTS,0.5
19/03/2025,ADANIPORTS,0.5
14/01/2022,AWL,0.352
08/02/2022,AWL,0.2798
30/03/2022,AWL,0.648
27/04/2022,AWL,0.5
17/05/2022,AWL,0.6909
02/06/2022,AWL,0.7787
06/07/2022,AWL,0.7202
04/08/2022,AWL,0.81245
17/09/2022,AWL,0.9037
03/10/2022,AWL,0.352
03/11/2022,AWL,0.26165
16/12/2022,AWL,0.5
21/01/2023,AWL,0.5
02/02/2023,AWL,0.352
09/03/2023,AWL,0.648
06/04/2023,AWL,0.16475
28/04/2023,AWL,0.7202
07/06/2023,AWL,0.648
25/07/2023,AWL,0.5
09/08/2023,AWL,0.5
01/09/2023,AWL,0.5
12/10/2023,AWL,0.81245
06/11/2023,AWL,0.648
28/11/2023,AWL,0.648
26/12/2023,AWL,0.648
30/01/2024,AWL,0.5
26/02/2024,AWL,0.648
16/04/2024,AWL,0.648
02/05/2024,AWL,0.436
30/05/2024,AWL,0.648
08/07/2024,AWL,0.648
02/08/2024,AWL,0.648
21/08/2024,AWL,0.648
17/09/2024,AWL,0.5
24/10/2024,AWL,0.648
21/11/2024,AWL,0.55135
10/01/2025,AWL,0.648
28/01/2025,AWL,0.648
18/02/2025,AWL,0.648
19/03/2025,AWL,0.648
11/01/2022,ADANIPOWER,0.5
03/02/2022,ADANIPOWER,0.44865
30/03/2022,ADANIPOWER,0.648
22/04/2022,ADANIPOWER,0.5
10/05/2022,ADANIPOWER,0.5
02/06/2022,ADANIPOWER,0.5
12/07/2022,ADANIPOWER,0.5
22/08/2022,ADANIPOWER,0.58895
17/09/2022,ADANIPOWER,0.5
03/10/2022,ADANIPOWER,0.352
10/11/2022,ADANIPOWER,0.70095
09/12/2022,ADANIPOWER,0.38685
25/01/2023,ADANIPOWER,0.5
09/02/2023,ADANIPOWER,0.7202
23/03/2023,ADANIPOWER,0.5
10/04/2023,ADANIPOWER,0.648
05/05/2023,ADANIPOWER,0.5
22/06/2023,ADANIPOWER,0.5129
